,Census,Number of Crimes,Total Population,Percentage of Population in Poverty,Percentage of Children in Poverty,Latitude,Longitude
0,201,23,24.0,100.0,25.05552429667576,38.91190386601621,-77.074201867252
1,202,603,3595.0,16.20000000000001,0.0,38.906516280388544,-77.06532433689918
2,501,105,3593.0,7.100000000000013,10.899999999999995,38.924631424067165,-77.05234388791868
3,502,65,3296.0,2.800000000000002,0.0,38.92841137414917,-77.05711286199785
4,701,43,5643.0,11.699999999999992,8.0,38.93040900215333,-77.0753356093349
5,702,23,3318.0,9.199999999999996,0.0,38.92377789905727,-77.0768369612882
6,801,70,5848.0,10.299999999999992,3.8000000000000047,38.92626353923466,-77.08942207271987
7,802,35,3476.0,13.300000000000008,5.0,38.91202219424887,-77.08621749175433
8,901,73,4704.0,7.0,4.0,38.938731508866624,-77.0980366103466
9,902,38,2584.0,2.2000000000000015,0.6999999999999996,38.92718895542419,-77.10438652562102
10,1001,340,7674.0,5.0,0.0,38.95310309919332,-77.0848945535508
11,1002,69,3512.0,27.299999999999972,0.0,38.93795152628686,-77.07499699865608
12,1301,25,4048.0,4.400000000000002,4.700000000000002,38.95336353109217,-77.06161549373114
13,1302,69,7563.0,10.100000000000012,4.699999999999994,38.93638749133568,-77.05799140093845
14,1401,44,3334.0,6.099999999999998,2.5,38.965256267310274,-77.06917823133793
15,1402,43,3336.0,5.699999999999996,0.0,38.961497981527934,-77.0629670340317
16,1702,186,3186.0,5.200000000000017,0.0,38.97285973475748,-77.01508039734153
17,1803,81,4176.0,20.5,21.0,38.96752580003414,-77.03474228940408
18,1804,305,5614.0,24.30000000000012,32.29999999999998,38.96601268080755,-77.02869531673805
19,1901,175,4065.0,11.5,21.400000000000063,38.96678527614501,-77.02405633487139
20,1902,61,2491.0,9.0,23.900000000000016,38.96451449774997,-77.01613274993323
21,2001,46,3150.0,12.2,8.800000000000006,38.95911447640038,-77.03322720755953
22,2002,220,4177.0,12.40000000000005,22.699999999999903,38.95377388498608,-77.02912293956729
23,2101,151,4819.0,10.0,6.100000000000016,38.956337423906355,-77.02460013335272
24,2102,120,5177.0,13.299999999999972,10.900000000000007,38.95570068849561,-77.01378492847975
25,2201,73,2930.0,7.1000000000000085,0.0,38.94981826494855,-77.02303931138945
26,2202,89,3347.0,14.700000000000024,13.399999999999999,38.95022349176809,-77.01439341327342
27,2301,94,3616.0,8.600000000000014,10.100000000000016,38.942530961900644,-77.01617228305123
28,2302,57,1460.0,22.70000000000002,9.199999999999994,38.930965949285635,-77.0106308804628
29,2501,125,3133.0,14.900000000000032,8.899999999999993,38.944691634151894,-77.03045537675115
30,2502,347,6362.0,14.300000000000093,17.0,38.939189155927345,-77.02758738275666
31,2701,122,6000.0,15.700000000000031,27.90000000000006,38.93428749902432,-77.03864547576494
32,2702,181,6302.0,11.400000000000038,7.299999999999976,38.9303719341424,-77.0395748102033
33,2801,109,4145.0,21.09999999999996,47.8000000000001,38.93546489095508,-77.0340382111497
34,2802,298,4618.0,20.100000000000072,40.100000000000215,38.92929437691625,-77.03383421622505
35,3301,114,4066.0,6.600000000000014,0.0,38.91913694118157,-77.0119595513425
36,3302,128,2256.0,12.599999999999977,22.699999999999967,38.91357191881499,-77.01096324286681
37,4001,120,4282.0,3.5,0.0,38.921124773087165,-77.04528326529399
38,4002,168,3163.0,3.7000000000000015,0.0,38.91998774954072,-77.04264944411307
39,4201,119,3724.0,3.100000000000004,0.0,38.91638256905156,-77.03825176860394
40,4202,159,2450.0,5.0,0.0,38.913750500916876,-77.04282497543126
41,4701,193,4888.0,25.300000000000093,20.5,38.90396161033811,-77.01549024953916
42,4702,361,2900.0,13.399999999999999,28.299999999999958,38.90135904991523,-77.0137019839751
43,4801,183,2716.0,6.399999999999997,0.0,38.912463646059166,-77.01950263305407
44,4802,94,3528.0,18.900000000000027,45.800000000000075,38.90642975565656,-77.01868213297941
45,4901,232,2830.0,15.300000000000058,35.0,38.91115449167801,-77.02339049082626
46,4902,219,3147.0,17.599999999999937,29.699999999999886,38.90629960235576,-77.02432436986469
47,5001,179,2075.0,8.59999999999998,0.0,38.912385615773246,-77.0295047351315
48,5002,144,5986.0,11.70000000000003,0.0,38.90706366722177,-77.02900972940553
49,5201,446,6263.0,7.099999999999944,0.0,38.91018171091339,-77.03313156540446
