OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
1,11001000100,1907610,512798,Census Tract 1,District of Columbia,District of Columbia,5151,348,248,177,18,30,9,15,0,17,185,160,36,40,0,17,0,17,4903,368,285,136,388,196,102,89,2867,240,907,207,177,109,177,104,4.8,3.42079618263208,27,38,3.4,4.61080071943667,3157969.92578125,16275.5930843861,802,257,3157969.92578125,16275.5930843861
2,11001000201,503312,0,Census Tract 2.01,District of Columbia,District of Columbia,24,56,24,56,0,12,0,12,0,12,24,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,100,0,0,21,,,832414.1953125,4265.95624132817,0,29,832414.1953125,4265.95624132817
3,11001000202,776630,428562,Census Tract 2.02,District of Columbia,District of Columbia,3595,557,582,307,0,12,0,12,0,12,550,302,15,19,17,27,0,12,3013,412,122,94,159,81,75,64,1731,360,767,160,135,68,24,28,16.2,8.16295463994787,0,21,0,5.89887640449438,1284189.109375,13196.7554343063,356,141,1284189.109375,13196.7554343063
4,11001000300,1010813,2334,Census Tract 3,District of Columbia,District of Columbia,6374,569,1184,447,15,25,0,17,14,22,1122,443,33,39,0,17,0,17,5190,387,451,119,291,144,76,48,3572,348,618,150,117,80,65,85,18.6,6.81400086009345,29,37,3.4,4.29657922015523,1676009.16796875,5244.31385997457,847,196,1676009.16796875,5244.31385997457
5,11001000400,1542760,69,Census Tract 4,District of Columbia,District of Columbia,1485,130,169,66,0,12,9,13,19,21,141,52,0,12,0,12,0,12,1316,126,99,41,106,31,48,28,655,90,297,85,91,46,20,17,11.4,4.33134298627911,28,27,10,9.32900348914502,2552695.71484375,7468.46769033422,281,65,2552695.71484375,7468.46769033422
6,11001000501,940586,30821,Census Tract 5.01,District of Columbia,District of Columbia,3593,306,254,140,37,44,12,18,0,12,177,105,28,32,0,12,0,12,3339,323,166,98,105,81,131,70,2285,264,391,144,182,145,79,69,7.1,3.84967068913828,49,49,10.9,10.2144035653806,1561991.26171875,8755.02811442883,451,153,1561991.26171875,8755.02811442883
7,11001000502,581506,0,Census Tract 5.02,District of Columbia,District of Columbia,3296,184,92,59,0,12,0,12,0,12,74,56,8,13,0,12,10,16,3204,192,140,44,125,53,160,64,2069,190,464,89,201,70,45,45,2.8,1.78325349204526,0,21,0,4.94117647058824,962251.21875,5195.04782210289,425,96,962251.21875,5195.04782210289
8,11001000600,1442822,71,Census Tract 6,District of Columbia,District of Columbia,4777,337,266,130,0,12,19,32,19,33,170,89,48,53,10,17,0,12,4511,346,334,137,368,130,54,40,2573,292,853,186,223,71,106,78,5.6,2.69287197842749,38,48,4.8,5.92466148740433,2388176.9375,6692.09665062309,794,199,2388176.9375,6692.09665062309
9,11001000701,548945,0,Census Tract 7.01,District of Columbia,District of Columbia,5643,394,663,301,16,26,18,31,0,17,490,273,70,79,69,82,0,17,4980,418,224,123,132,75,34,35,2655,353,1313,241,519,160,103,74,11.7,5.27058453658239,34,44,8,9.95888664873272,908405.45703125,4113.24444453833,424,155,908405.45703125,4113.24444453833
10,11001000702,293676,158,Census Tract 7.02,District of Columbia,District of Columbia,3318,267,306,194,0,12,0,12,0,12,306,194,0,12,0,12,0,12,3012,305,144,62,64,57,31,36,2280,281,259,116,180,101,54,61,9.2,5.79960626148982,0,21,0,8.78661087866109,486170.13671875,3519.88066987888,239,94,486170.13671875,3519.88066987888
